Datetime,Open,High,Low,Close,Adj Close,Volume,changes
2024-05-21 13:40:00+00:00,71092.1796875,71144.1875,71092.1796875,71144.1875,71144.1875,167727104,0.3394246870004114
2024-05-21 13:50:00+00:00,70686.4765625,70686.4765625,70597.828125,70597.828125,70597.828125,260169728,-0.8728847165370701
2024-05-21 14:05:00+00:00,70663.53125,70744.203125,70663.53125,70712.3984375,70712.3984375,190627840,0.1982669190815356
2024-05-21 14:20:00+00:00,70680.25,70680.25,70574.8125,70574.8125,70574.8125,86392832,-0.1865650821543774
2024-05-21 14:25:00+00:00,70603.953125,70603.953125,70352.2890625,70352.2890625,70352.2890625,80490496,-0.3153014930078579
2024-05-21 14:35:00+00:00,70613.765625,70870.7109375,70613.765625,70758.3828125,70758.3828125,259854336,0.4250928761073469
2024-05-21 14:40:00+00:00,70666.21875,70666.21875,70464.015625,70464.015625,70464.015625,55226368,-0.4160174042982745
2024-05-21 14:50:00+00:00,70448.2890625,70448.2890625,70293.40625,70293.40625,70293.40625,147562496,-0.2168322703909098
2024-05-21 15:05:00+00:00,70236.8515625,70236.8515625,70150.5234375,70150.5234375,70150.5234375,167563264,-0.2486876577001973
2024-05-21 15:20:00+00:00,70311.6328125,70442.734375,70311.6328125,70442.734375,70442.734375,94572544,0.20365969560620645
2024-05-21 15:50:00+00:00,70008.4765625,70008.4765625,69785.5234375,69785.5234375,69785.5234375,128598016,-0.3308340577650726
2024-05-21 16:15:00+00:00,69918.328125,70122.546875,69918.328125,70122.546875,70122.546875,31170560,0.2734154883159867
2024-05-21 16:20:00+00:00,70158.1953125,70158.1953125,69950.7890625,69950.7890625,69950.7890625,124145664,-0.2449394954324391
2024-05-21 16:35:00+00:00,69981.359375,69981.359375,69826.875,69846.796875,69846.796875,50823168,-0.2747010964954111
2024-05-21 17:05:00+00:00,69680.3671875,69799.9453125,69680.3671875,69798.8046875,69798.8046875,40599552,0.19551828663446624
2024-05-21 17:10:00+00:00,69840.9296875,69840.9296875,69608.2109375,69648.7890625,69648.7890625,115478528,-0.21492577941935043
2024-05-21 18:10:00+00:00,69851.953125,69851.953125,69719.109375,69719.109375,69719.109375,0,-0.25367893698063915
2024-05-21 18:30:00+00:00,69646.0390625,69758.234375,69569.2578125,69758.234375,69758.234375,0,0.24377648096962634
2024-05-21 19:25:00+00:00,69780.1484375,69780.1484375,69265.171875,69265.171875,69265.171875,0,-0.7670957385535027
